Date,NVDA,JPM,AMZN,LLY,XOM,^GSPC
2021-09-13,22.05485725402832,141.0614776611328,172.85850524902344,227.4009552001953,46.468017578125,4468.72998046875
2021-09-14,22.14446449279785,138.5995635986328,172.5,222.74703979492188,45.80501937866211,4443.0498046875
2021-09-15,22.24302864074707,139.5614013671875,173.7895050048828,223.35858154296875,47.34919357299805,4480.7001953125
2021-09-16,22.14446449279785,139.4996337890625,174.41200256347656,220.78797912597656,46.84566116333008,4473.75
2021-09-17,21.8039608001709,139.1378173828125,173.12600708007812,219.8897247314453,46.29177474975586,4432.990234375
2021-09-20,21.020416259765625,134.97286987304688,167.7864990234375,221.36138916015625,45.058101654052734,4357.72998046875
2021-09-21,21.152833938598633,134.9905242919922,167.18150329589844,219.95657348632812,45.01613998413086,4354.18994140625
2021-09-22,21.844783782958984,137.57598876953125,169.00250244140625,218.16957092285156,46.33372116088867,4395.64013671875
2021-09-23,22.383413314819336,142.2262725830078,170.8000030517578,221.87738037109375,47.9030876159668,4448.97998046875
2021-09-24,21.98416519165039,143.86753845214844,171.2760009765625,221.3995819091797,48.331092834472656,4455.47998046875
2021-09-27,21.56501579284668,147.3441925048828,170.2899932861328,216.3538818359375,49.76617431640625,4443.10986328125
2021-09-28,20.608226776123047,146.550048828125,165.79800415039062,211.76686096191406,50.2864875793457,4352.6298828125
2021-09-29,20.42702865600586,146.4353485107422,165.05599975585938,220.13815307617188,50.2529182434082,4359.4599609375
2021-09-30,20.62515640258789,144.44110107421875,164.2519989013672,220.797607421875,49.36334991455078,4307.5400390625
2021-10-01,20.651039123535156,147.4766082763672,164.16299438476562,219.40234375,51.13410186767578,4357.0400390625
2021-10-04,19.645475387573242,147.3177032470703,159.48899841308594,214.8726348876953,51.79710388183594,4300.4599609375
2021-10-05,20.36132049560547,149.7234649658203,161.0500030517578,220.68284606933594,51.71318054199219,4345.72021484375
2021-10-06,20.609224319458008,150.0430450439453,163.10049438476562,217.7395477294922,50.76485061645508,4363.5498046875
2021-10-07,20.98258399963379,150.99290466308594,165.1215057373047,222.83302307128906,50.90752029418945,4399.759765625
2021-10-08,20.739654541015625,151.10830688476562,164.43099975585938,223.55929565429688,52.183143615722656,4391.33984375
2021-10-11,20.604244232177734,147.9302978515625,162.31500244140625,223.30128479003906,51.6628303527832,4361.18994140625
