,Weight,Marginal Risk Contribution,Risk Contribution,Risk Contribution %
NVDA,0.25,0.4377361558997053,0.10943403897492633,0.4678512598295458
JPM,0.2,0.14494104729743834,0.02898820945948767,0.12393009015167068
AMZN,0.2,0.26749344887810167,0.053498689775620334,0.22871703946236316
LLY,0.2,0.15060599740601327,0.030121199481202655,0.12877383725265368
XOM,0.15,0.07910413126967154,0.01186561969045073,0.050727773303766766
