,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Beta
Portfolio,0.3651487029323135,0.23390778513476554,1.3900721720099214,-0.2577617614282708,1.1968483573274131
S&P 500,0.11246957800141,0.17050818586532018,0.42502110754173267,-0.2542509661923037,1.0
