Ticker,Latest Price,MA50,MA200,Trend,Last Crossover,Last Crossover Date
NVDA,218.2899932861328,212.35615325927733,197.10519302368164,Bullish,Golden Cross,2025-06-27
JPM,356.2300109863281,351.70859985351564,317.50176467895506,Bullish,Golden Cross,2026-06-05
AMZN,256.7799987792969,255.25279937744142,239.79769989013673,Bullish,Golden Cross,2026-05-06
LLY,1115.699951171875,1183.6366357421875,1061.9978085327148,Bullish,Golden Cross,2025-11-05
XOM,165.99000549316406,154.56945434570312,144.04887996673585,Bullish,Golden Cross,2025-08-11
